Section,Metric or Month,Unit or Fallback Rate,Conservative or New Free,Base or Ending Free,Optimistic or New Paid,Status or Ending Paid,Revenue AUD,Vision LLM AUD,Labeling AUD,Backend + Storage AUD,Payment Fees AUD,COGS AUD,Gross Profit AUD,Gross Margin,Fixed Costs AUD,CAC Spend AUD,Net Cash Flow AUD,Cumulative Cash AUD
ASSUMPTIONS,FX: AUD per USD,AUD/USD,1.53,1.53,1.53,GUESS - update for current FX
ASSUMPTIONS,Plus monthly price,AUD,14.99,14.99,14.99,RECOMMENDATION (USD 9.99 equivalent)
ASSUMPTIONS,Plus annual price,AUD,119.99,119.99,119.99,RECOMMENDATION (USD 79.99 equivalent)
ASSUMPTIONS,Pro monthly price,AUD,26.99,26.99,26.99,GUESS (USD 17.99 equivalent)
ASSUMPTIONS,Pro annual price,AUD,229.99,229.99,229.99,GUESS (USD 149.99 equivalent)
ASSUMPTIONS,Plus share of paid users,%,85%,85%,85%,GUESS
ASSUMPTIONS,Annual billing share,%,35%,40%,45%,GUESS
ASSUMPTIONS,Payment fee,%,3.0%,3.0%,3.0%,GUESS
ASSUMPTIONS,Free checks / user / month,count,1.2,1.5,1.8,GUESS
ASSUMPTIONS,Paid checks / user / month,count,6,8,10,GUESS
ASSUMPTIONS,Vision LLM cost / fallback,AUD,0.018,0.012,0.009,GUESS - vendor/model dependent
ASSUMPTIONS,Fallback rate launch,%,50%,40%,30%,Product target / scenario
ASSUMPTIONS,Fallback rate month 12,%,20%,10%,6%,Product target / scenario
ASSUMPTIONS,Fallback rate month 24,%,10%,5%,3%,Product target / scenario
ASSUMPTIONS,Variable backend / active user,AUD/mo,0.05,0.03,0.02,GUESS
ASSUMPTIONS,Storage / active user,AUD/mo,0.03,0.02,0.015,GUESS
ASSUMPTIONS,Labeling / fallback,AUD,0.025,0.015,0.010,GUESS - sampled human review
ASSUMPTIONS,Starting free users,count,1000,1000,1000,GUESS
ASSUMPTIONS,New free users month 1,count,1200,1500,1800,GUESS
ASSUMPTIONS,Monthly acquisition growth,%,6%,10%,14%,GUESS
ASSUMPTIONS,Free monthly churn,%,10%,8%,6%,GUESS
ASSUMPTIONS,Free-to-paid conversion,%,2.5%,4.5%,7.0%,GUESS
ASSUMPTIONS,Paid monthly churn,%,7.0%,4.5%,2.8%,GUESS
ASSUMPTIONS,CAC / new paid user,AUD,73,49,34,GUESS (USD 48 / 32 / 22)
ASSUMPTIONS,Team / contractors,AUD/mo,45900,38250,38250,GUESS (USD 30k / 25k / 25k)
ASSUMPTIONS,Fixed hosting,AUD/mo,3060,2295,1836,GUESS
ASSUMPTIONS,Tools + admin,AUD/mo,1836,1530,1224,GUESS
ASSUMPTIONS,One-off model/data investment,AUD,22950,18360,15300,GUESS

SCENARIO OUTPUT,Metric,Unit,Conservative,Base,Optimistic,Derived,,,,,,,,,,,,
SCENARIO OUTPUT,Blended paid ARPU,AUD/mo,14.89,14.62,14.35,Weighted monthly/annual and Plus/Pro mix
SCENARIO OUTPUT,Mature variable cost / paid user,AUD/mo,0.54,0.49,0.47,AI + labeling + backend + storage + payment fee
SCENARIO OUTPUT,Mature gross margin,%,96.4%,96.6%,96.7%,1 - variable cost / ARPU
SCENARIO OUTPUT,Contribution / paid user,AUD/mo,14.36,14.13,13.88,ARPU - mature variable cost
SCENARIO OUTPUT,LTV,AUD,205,314,496,Contribution / monthly paid churn
SCENARIO OUTPUT,LTV:CAC,x,2.8,6.4,14.6,LTV / CAC
SCENARIO OUTPUT,CAC payback,months,5.1,3.5,2.4,CAC / monthly contribution
SCENARIO OUTPUT,Break-even paid users,count,3538,2978,2975,Recurring fixed costs / mature contribution

BASE 24-MONTH MODEL,Month,Fallback rate,New free users,Ending free users,New paid users,Ending paid users,Revenue AUD,Vision LLM AUD,Labeling AUD,Backend + storage AUD,Payment fees AUD,COGS AUD,Gross profit AUD,Gross margin,Fixed costs AUD,CAC spend AUD,Net cash flow AUD,Cumulative cash AUD
BASE 24-MONTH MODEL,1,40.0%,1500,2311,109,109,1593,21,2,121,48,192,1401,88.0%,60435,5336,-64370,-64370
BASE 24-MONTH MODEL,2,37.3%,1650,3606,170,274,4006,34,3,194,120,352,3654,91.2%,42075,8327,-46747,-111118
BASE 24-MONTH MODEL,3,34.5%,1815,4902,231,493,7203,47,5,270,216,537,6666,92.5%,42075,11318,-46727,-157844
BASE 24-MONTH MODEL,4,31.8%,1997,6213,293,763,11161,59,6,349,335,748,10412,93.3%,42075,14346,-46009,-203853
BASE 24-MONTH MODEL,5,29.1%,2196,7556,356,1085,15865,70,7,432,476,985,14880,93.8%,42075,17447,-44642,-248495
BASE 24-MONTH MODEL,6,26.4%,2416,8946,422,1458,21316,79,8,520,639,1247,20069,94.2%,42075,20656,-42662,-291157
BASE 24-MONTH MODEL,7,23.6%,2657,10398,490,1882,27522,87,9,614,826,1535,25986,94.4%,42075,24008,-40096,-331253
BASE 24-MONTH MODEL,8,20.9%,2923,11927,562,2359,34502,92,9,714,1035,1851,32651,94.6%,42075,27538,-36963,-368215
BASE 24-MONTH MODEL,9,18.2%,3215,13550,638,2892,42286,95,9,822,1269,2195,40091,94.8%,42075,31285,-33269,-401485
BASE 24-MONTH MODEL,10,15.5%,3537,15283,720,3482,50914,94,9,938,1527,2569,48345,95.0%,42075,35286,-29016,-430501
BASE 24-MONTH MODEL,11,12.7%,3891,17143,808,4133,60435,90,9,1064,1813,2976,57460,95.1%,42075,39581,-24196,-454697
BASE 24-MONTH MODEL,12,10.0%,4280,19149,902,4849,70911,81,8,1200,2127,3416,67494,95.2%,42075,44213,-18793,-473490
BASE 24-MONTH MODEL,13,9.6%,4708,21320,1005,5635,82411,89,9,1348,2472,3918,78493,95.2%,42075,49226,-12807,-486298
BASE 24-MONTH MODEL,14,9.2%,5178,23677,1116,6498,95018,96,10,1509,2851,4465,90552,95.3%,42075,54668,-6191,-492488
BASE 24-MONTH MODEL,15,8.8%,5696,26243,1237,7442,108825,104,10,1684,3265,5063,103762,95.3%,42075,60592,1095,-491393
BASE 24-MONTH MODEL,16,8.3%,6266,29041,1368,8475,123939,111,11,1876,3718,5716,118222,95.4%,42075,67052,9095,-482298
BASE 24-MONTH MODEL,17,7.9%,6892,32097,1512,9606,140479,119,12,2085,4214,6430,134049,95.4%,42075,74110,17864,-464434
BASE 24-MONTH MODEL,18,7.5%,7582,35441,1670,10844,158579,126,13,2314,4757,7210,151369,95.5%,42075,81830,27464,-436970
BASE 24-MONTH MODEL,19,7.1%,8340,39103,1843,12199,178388,133,13,2565,5352,8063,170325,95.5%,42075,90286,37965,-399006
BASE 24-MONTH MODEL,20,6.7%,9174,43117,2032,13681,200072,139,14,2840,6002,8995,191076,95.5%,42075,99553,49448,-349558
BASE 24-MONTH MODEL,21,6.3%,10091,47520,2239,15305,223813,145,15,3141,6714,10015,213798,95.5%,42075,109719,62004,-287554
BASE 24-MONTH MODEL,22,5.8%,11100,52352,2467,17083,249816,151,15,3472,7494,11132,238684,95.5%,42075,120875,75734,-211820
BASE 24-MONTH MODEL,23,5.4%,12210,57657,2717,19031,278304,155,16,3834,8349,12354,265950,95.6%,42075,133125,90750,-121070
BASE 24-MONTH MODEL,24,5.0%,13431,63485,2991,21166,309526,159,16,4233,9286,13693,295833,95.6%,42075,146580,107178,-13892

NOTES,All currency values are AUD unless marked otherwise.,,,,,USD equivalents use the editable FX assumption above
NOTES,The HTML recalculates the model dynamically.,,,,,CSV monthly values are an editable audit trail of the Base case
NOTES,On-device CNN inference cost,AUD/check,0,0,0,Product-spec fact - near-zero marginal cost
NOTES,Weather API,AUD/check,0,0,0,Product-spec fact - Open-Meteo is keyless/free
